Entity,Code,Year,Temperature anomaly
April,,1940,-0.6047554
April,,1941,-0.80674744
April,,1942,-0.80338573
April,,1943,-0.7721729
April,,1944,-0.63042927
April,,1945,-0.6643238
April,,1946,-0.62366676
April,,1947,-0.51389885
April,,1948,-0.7420769
April,,1949,-0.7330313
April,,1950,-0.8366337
April,,1951,-0.71881866
April,,1952,-0.70595264
April,,1953,-0.50218296
April,,1954,-0.77288723
April,,1955,-0.8445301
April,,1956,-0.8796177
April,,1957,-0.66008663
April,,1958,-0.53920746
April,,1959,-0.46754646
April,,1960,-0.74444675
April,,1961,-0.5174341
April,,1962,-0.59060955
April,,1963,-0.7342348
April,,1964,-0.8713722
April,,1965,-0.8030329
April,,1966,-0.69637585
April,,1967,-0.6555824
April,,1968,-0.6871872
April,,1969,-0.46112156
April,,1970,-0.48086357
April,,1971,-0.7092142
April,,1972,-0.6141176
April,,1973,-0.4161644
April,,1974,-0.75925446
April,,1975,-0.64120483
April,,1976,-0.8217783
April,,1977,-0.5089693
April,,1978,-0.5516386
April,,1979,-0.5084934
April,,1980,-0.18406487
April,,1981,-0.21318531
April,,1982,-0.5377083
April,,1983,-0.2767172
April,,1984,-0.4690647
April,,1985,-0.47266865
April,,1986,-0.2999096
April,,1987,-0.3342142
April,,1988,-0.18893623
April,,1989,-0.31494904
April,,1990,-0.052474022
April,,1991,-0.12276077
April,,1992,-0.4195757
April,,1993,-0.32597065
April,,1994,-0.2805462
April,,1995,-0.11935043
April,,1996,-0.34447765
April,,1997,-0.32796955
April,,1998,0.12084007
April,,1999,-0.30352402
April,,2000,-0.08271217
April,,2001,-0.15341187
April,,2002,-0.06365299
April,,2003,-0.12007809
April,,2004,-0.01441288
April,,2005,0.070448875
April,,2006,-0.069942474
April,,2007,0.1736803
April,,2008,-0.12669373
April,,2009,-0.060087204
April,,2010,0.25240612
April,,2011,0.013614655
April,,2012,0.054311752
April,,2013,-0.036418915
April,,2014,0.10951996
April,,2015,0.056468964
April,,2016,0.5295305
April,,2017,0.3282051
April,,2018,0.3051052
April,,2019,0.43720245
April,,2020,0.5202713
April,,2021,0.19055271
April,,2022,0.28326893
April,,2023,0.320549
April,,2024,0.6701832
August,,1940,-0.4991312
August,,1941,-0.4748392
August,,1942,-0.7484827
August,,1943,-0.7765541
August,,1944,-0.46855164
August,,1945,-0.33534622
August,,1946,-0.6697817
August,,1947,-0.6639471
August,,1948,-0.5705061
August,,1949,-0.66612244
August,,1950,-0.8165808
August,,1951,-0.48821068
August,,1952,-0.6869316
August,,1953,-0.5297184
August,,1954,-0.80227184
August,,1955,-0.5998659
August,,1956,-0.8837004
August,,1957,-0.5275593
August,,1958,-0.5775509
August,,1959,-0.59373474
August,,1960,-0.53196335
August,,1961,-0.5490122
August,,1962,-0.6011553
August,,1963,-0.35282516
August,,1964,-0.69465065
August,,1965,-0.6724329
August,,1966,-0.5796337
August,,1967,-0.5711508
August,,1968,-0.65292263
August,,1969,-0.6583853
August,,1970,-0.683918
August,,1971,-0.7044239
August,,1972,-0.45669937
August,,1973,-0.6240673
August,,1974,-0.6211901
August,,1975,-0.8382015
August,,1976,-0.7534933
August,,1977,-0.4668579
August,,1978,-0.7221718
August,,1979,-0.409544
August,,1980,-0.28450775
August,,1981,-0.23630905
August,,1982,-0.45394993
August,,1983,-0.24982166
August,,1984,-0.43864632
August,,1985,-0.39429092
August,,1986,-0.43733406
August,,1987,-0.27091312
August,,1988,-0.16662121
August,,1989,-0.32172775
August,,1990,-0.16620636
August,,1991,-0.13984299
August,,1992,-0.48837376
August,,1993,-0.3846655
August,,1994,-0.3845272
August,,1995,-0.1071434
August,,1996,-0.111800194
August,,1997,-0.13424873
August,,1998,0.14117622
August,,1999,-0.2378416
August,,2000,-0.17531204
August,,2001,-0.051216125
August,,2002,-0.04686737
August,,2003,0.04563141
August,,2004,-0.16183853
August,,2005,0.02932167
August,,2006,0.07069588
August,,2007,-0.018985748
August,,2008,-0.079278946
August,,2009,0.044921875
August,,2010,0.045850754
August,,2011,0.11049652
August,,2012,0.07608032
August,,2013,0.054325104
August,,2014,0.13555336
August,,2015,0.24180031
August,,2016,0.40079117
August,,2017,0.29548073
August,,2018,0.20798302
August,,2019,0.35557556
August,,2020,0.26626587
August,,2021,0.31059265
August,,2022,0.2951889
August,,2023,0.7090454
December,,1940,-0.5999069
December,,1941,-0.6912489
December,,1942,-0.81962967
December,,1943,-0.6101961
December,,1944,-0.7618723
December,,1945,-0.8674793
December,,1946,-0.840394
December,,1947,-0.81562614
December,,1948,-0.89682484
December,,1949,-0.6706772
December,,1950,-0.66222286
December,,1951,-0.46437168
December,,1952,-0.70205784
December,,1953,-0.59535694
December,,1954,-0.8126755
December,,1955,-0.9461498
December,,1956,-0.7470503
December,,1957,-0.45920467
December,,1958,-0.60860443
December,,1959,-0.5907717
December,,1960,-0.43441772
December,,1961,-0.7203636
December,,1962,-0.62083817
December,,1963,-0.57757664
December,,1964,-0.9144287
December,,1965,-0.65891933
December,,1966,-0.6568613
December,,1967,-0.61443806
December,,1968,-0.7389574
December,,1969,-0.3514471
December,,1970,-0.69799614
December,,1971,-0.68610287
December,,1972,-0.4383974
December,,1973,-0.60564137
December,,1974,-0.76280975
December,,1975,-0.82320595
December,,1976,-0.6665621
December,,1977,-0.54161835
December,,1978,-0.51471615
December,,1979,-0.13221264
December,,1980,-0.47253132
December,,1981,-0.23480892
December,,1982,-0.23317051
December,,1983,-0.42402077
December,,1984,-0.60334873
December,,1985,-0.5459471
December,,1986,-0.44721603
December,,1987,-0.12599659
December,,1988,-0.36969948
December,,1989,-0.23994732
December,,1990,-0.14958763
December,,1991,-0.33702183
December,,1992,-0.4633484
December,,1993,-0.3529005
December,,1994,-0.2720585
December,,1995,-0.3405304
December,,1996,-0.2460041
December,,1997,-0.047919273
December,,1998,-0.08744717
December,,1999,-0.22364044
December,,2000,-0.34230137
December,,2001,0.030033112
December,,2002,-0.1222353
December,,2003,0.17726803
December,,2004,-0.09580326
December,,2005,0.100990295
December,,2006,0.19520092
December,,2007,-0.08932972
December,,2008,-0.044008255
December,,2009,0.06801796
December,,2010,-0.10175228
December,,2011,-0.038067818
December,,2012,-0.032136917
December,,2013,0.12653828
December,,2014,0.18810177
December,,2015,0.5390978
December,,2016,0.3351841
December,,2017,0.37155724
December,,2018,0.330657
December,,2019,0.5391569
December,,2020,0.23469353
December,,2021,0.3219309
December,,2022,0.27041817
December,,2023,0.8446865
February,,1940,-0.85736465
February,,1941,-0.54307365
February,,1942,-0.7966938
February,,1943,-0.684
February,,1944,-0.49924564
February,,1945,-0.92013264
February,,1946,-0.7263727
February,,1947,-0.7260809
February,,1948,-0.83985615
February,,1949,-0.7488222
February,,1950,-0.9366274
February,,1951,-1.045888
February,,1952,-0.5912237
February,,1953,-0.6076269
February,,1954,-0.79543114
February,,1955,-0.9163685
February,,1956,-0.88161755
February,,1957,-0.7964544
February,,1958,-0.46888542
February,,1959,-0.5629587
February,,1960,-0.48531246
February,,1961,-0.48573017
February,,1962,-0.5261831
February,,1963,-0.534461
February,,1964,-0.6778164
February,,1965,-0.8420143
February,,1966,-0.6701832
February,,1967,-0.9058018
February,,1968,-0.783617
February,,1969,-0.7684059
February,,1970,-0.47447586
February,,1971,-0.8473921
February,,1972,-0.9084358
February,,1973,-0.3297968
February,,1974,-0.9525204
February,,1975,-0.6596861
February,,1976,-0.89723873
February,,1977,-0.5860491
February,,1978,-0.5835085
February,,1979,-0.687788
February,,1980,-0.2485323
February,,1981,-0.24968052
February,,1982,-0.48815727
February,,1983,-0.19319916
February,,1984,-0.55772877
February,,1985,-0.6948309
February,,1986,-0.37840366
February,,1987,-0.28931713
February,,1988,-0.33325863
February,,1989,-0.33684826
February,,1990,-0.2750244
February,,1991,-0.12267399
February,,1992,-0.25077152
February,,1993,-0.3085518
February,,1994,-0.63631153
February,,1995,0.0653162
February,,1996,-0.22207165
February,,1997,-0.3143921
February,,1998,0.15416622
February,,1999,-0.04797077
February,,2000,-0.13648319
February,,2001,-0.28273678
